capture,ue_ip,direction,window_index,window_s,throughput_mbps,lf_raw,lf_used
250826_1030_1130.pcap,10.1.17.210,DL,17,5,0.012798,0.00001400,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,18,5,0.000096,0.00000011,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,22,5,1.145595,0.00125339,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,23,5,0.901091,0.00098588,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,24,5,0.729101,0.00079770,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,26,5,0.000088,0.00000010,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,30,5,0.015592,0.00001706,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,31,5,0.000330,0.00000036,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,33,5,1.298614,0.00142080,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,34,5,0.928534,0.00101590,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,35,5,0.716806,0.00078425,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,36,5,0.000163,0.00000018,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,38,5,0.012571,0.00001375,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,41,5,0.013840,0.00001514,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,42,5,0.000099,0.00000011,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,45,5,1.106142,0.00121022,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,46,5,0.852627,0.00093285,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,47,5,0.702678,0.00076879,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,49,5,0.000171,0.00000019,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,53,5,0.009744,0.00001066,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,54,5,0.000210,0.00000023,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,56,5,1.082520,0.00118438,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,57,5,0.122990,0.00013456,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,58,5,1.389538,0.00152028,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,64,5,0.016893,0.00001848,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,65,5,0.000200,0.00000022,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,67,5,0.000194,0.00000021,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,68,5,1.096677,0.00119987,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,69,5,0.858058,0.00093879,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,70,5,0.727827,0.00079631,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,76,5,0.011472,0.00001255,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,78,5,0.019563,0.00002140,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,79,5,1.557515,0.00170406,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,80,5,0.179707,0.00019662,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,81,5,1.393331,0.00152443,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,83,5,0.000205,0.00000022,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,87,5,0.010507,0.00001150,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,88,5,0.000619,0.00000068,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,91,5,1.155142,0.00126383,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,92,5,0.901070,0.00098585,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,93,5,0.733630,0.00080266,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,99,5,0.010302,0.00001127,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,102,5,1.176733,0.00128745,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,103,5,0.878355,0.00096100,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,104,5,0.704640,0.00077094,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,105,5,0.020970,0.00002294,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,110,5,0.018770,0.00002054,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,111,5,0.000101,0.00000011,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,114,5,1.304650,0.00142741,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,115,5,0.864966,0.00094635,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,116,5,0.688274,0.00075303,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,122,5,0.009141,0.00001000,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,123,5,0.000654,0.00000072,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,125,5,1.279315,0.00139969,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,126,5,0.873534,0.00095573,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,127,5,0.583005,0.00063786,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,128,5,0.089030,0.00009741,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,132,5,0.000198,0.00000022,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,133,5,0.016642,0.00001821,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,137,5,1.497586,0.00163850,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,138,5,0.939902,0.00102834,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,139,5,0.706602,0.00077309,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,145,5,0.007886,0.00000863,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,148,5,1.298766,0.00142097,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,149,5,0.860974,0.00094199,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,150,5,0.722883,0.00079090,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,152,5,0.000091,0.00000010,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,156,5,0.007670,0.00000839,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,181,5,0.000096,0.00000011,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,184,5,1.343046,0.00146942,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,185,5,19.604394,0.02144901,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,186,5,1.434304,0.00156926,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,187,5,19.152784,0.02095491,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,188,5,1.677192,0.00183500,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,189,5,2.857894,0.00312680,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,190,5,0.009634,0.00001054,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,191,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,193,5,0.009178,0.00001004,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,194,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,197,5,0.021978,0.00002405,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,198,5,0.000373,0.00000041,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,199,5,0.000784,0.00000086,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,202,5,0.122034,0.00013352,0.30000
